Rank,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Luka Dončić,LAL,27,58,39,19,35.8,33.4,10.8,22.5,47.7,4.0,10.8,37.0,7.9,10.3,77.2,0.6,7.3,7.9,8.4,4.0,1.6,0.6,2.3,57.9,33.0,8.0,2.6
2,Shai Gilgeous-Alexander,OKC,27,58,47,11,33.5,31.5,10.8,19.7,55.1,1.7,4.4,38.9,8.1,9.1,89.2,0.5,3.9,4.5,6.6,2.1,1.4,0.8,2.1,51.4,7.0,0.0,10.8
3,Anthony Edwards,MIN,24,58,35,23,35.5,29.5,10.1,20.5,49.2,3.4,8.6,40.2,5.9,7.4,79.6,0.6,4.5,5.1,3.7,2.8,1.4,0.8,1.9,45.0,2.0,0.0,2.6
4,Tyrese Maxey,PHI,25,61,33,28,38.3,29.0,10.1,21.9,46.1,3.3,8.9,37.3,5.5,6.1,89.3,0.3,3.8,4.1,6.7,2.4,2.0,0.8,2.2,50.0,7.0,0.0,1.4
5,Jaylen Brown,BOS,29,62,40,22,34.1,28.5,10.4,21.6,48.0,1.9,5.7,34.2,5.8,7.3,79.6,1.2,5.9,7.0,5.1,3.6,1.0,0.4,2.7,45.4,13.0,3.0,3.8
6,Kawhi Leonard,LAC,34,54,30,24,32.3,28.2,9.8,19.5,50.4,2.6,6.8,38.3,6.0,6.7,89.8,1.0,5.3,6.4,3.6,2.1,2.0,0.4,1.3,46.4,5.0,0.0,4.3
7,Nikola Jokić,DEN,31,54,32,22,34.7,28.2,10.0,17.5,57.3,1.8,4.7,38.8,6.4,7.7,83.3,2.9,9.7,12.6,10.5,3.9,1.5,0.8,2.7,62.2,46.0,27.0,8.3
8,Donovan Mitchell,CLE,29,61,38,23,33.5,28.0,9.7,20.3,47.9,3.3,9.2,36.4,5.3,6.2,85.4,0.7,3.8,4.5,5.9,2.9,1.6,0.3,2.3,44.9,5.0,0.0,5.9
9,Giannis Antetokounmpo,MIL,31,36,17,19,28.9,27.6,10.4,16.6,62.4,0.4,1.3,33.3,6.4,9.9,65.0,2.7,7.1,9.8,5.4,3.2,0.9,0.7,2.4,49.1,19.0,0.0,2.7
10,Stephen Curry,GSW,38,39,23,16,31.3,27.2,8.9,19.1,46.8,4.5,11.5,39.1,4.9,5.2,93.1,0.4,3.1,3.5,4.8,2.8,1.1,0.4,1.9,40.5,3.0,0.0,1.6
11,Lauri Markkanen,UTA,28,42,17,25,34.3,26.7,9.1,19.2,47.7,2.7,7.7,35.5,5.7,6.4,89.6,2.0,4.9,6.9,2.1,1.5,1.0,0.5,1.8,41.2,5.0,0.0,-1.3
